id,domain,topic,subtopic,template
PHYS.5.1,Physics: Quantum Mechanics,Foundations and Early Quantum Theory,"Wave–particle duality, de Broglie wavelengths, and early experiments",definition
PHYS.5.2,Physics: Quantum Mechanics,The Schrödinger Equation and Wavefunctions,Time-dependent and time-independent formulations,definition
PHYS.5.2,Physics: Quantum Mechanics,The Schrödinger Equation and Wavefunctions,Properties of wavefunctions: normalization and probability densities,definition
PHYS.5.2,Physics: Quantum Mechanics,The Schrödinger Equation and Wavefunctions,"Solutions for simple potentials (infinite well, harmonic oscillator)",definition
PHYS.5.3,Physics: Quantum Mechanics,"Operators, Observables, and Quantum States","Hermitian operators, eigenvalues/eigenfunctions, and the uncertainty principle",definition
PHYS.5.3,Physics: Quantum Mechanics,"Operators, Observables, and Quantum States",Measurement in quantum mechanics and state collapse,definition
PHYS.5.3,Physics: Quantum Mechanics,"Operators, Observables, and Quantum States",Quantum superposition and interference,definition
PHYS.5.4,Physics: Quantum Mechanics,Advanced Quantum Topics,Quantum tunneling and barrier penetration,definition
PHYS.5.4,Physics: Quantum Mechanics,Advanced Quantum Topics,Angular momentum and spin,definition
PHYS.5.4,Physics: Quantum Mechanics,Advanced Quantum Topics,Quantum statistics: Fermi–Dirac and Bose–Einstein distributions,definition
PHYS.5.4,Physics: Quantum Mechanics,Advanced Quantum Topics,Path‑integral formulation & introduction to quantum field theory,definition
PHYS.5.4,Physics: Quantum Mechanics,Advanced Quantum Topics,Applications: the hydrogen atom and scattering theory,definition
PHYS.6.1,Physics: Relativity,Special Relativity,"Postulates, time dilation, length contraction, and relativity of simultaneity",definition
PHYS.6.1,Physics: Relativity,Special Relativity,Lorentz transformations and relativistic kinematics,definition
PHYS.6.1,Physics: Relativity,Special Relativity,Energy–mass equivalence (E = mc²) and implications for particle physics,definition
PHYS.6.2,Physics: Relativity,General Relativity,The Equivalence Principle,definition
PHYS.6.2,Physics: Relativity,General Relativity,"Curved spacetime, geodesics, and the Einstein Field Equations",definition
PHYS.6.2,Physics: Relativity,General Relativity,"Experimental tests (gravitational redshift, perihelion precession)",definition
PHYS.6.2,Physics: Relativity,General Relativity,"Exact solutions (Schwarzschild, Kerr metrics)",definition
PHYS.7.1,Physics: Modern and Advanced Physics,Particle and Nuclear Physics,"Fundamental particles, forces, and the Standard Model",definition
PHYS.7.1,Physics: Modern and Advanced Physics,Particle and Nuclear Physics,Particle interactions and Feynman diagrams,definition
PHYS.7.1,Physics: Modern and Advanced Physics,Particle and Nuclear Physics,"Nuclear structure, reactions, and decay processes",definition
PHYS.7.2,Physics: Modern and Advanced Physics,Condensed Matter Physics,"Crystalline and amorphous solids, semiconductors, and metals",definition
PHYS.7.2,Physics: Modern and Advanced Physics,Condensed Matter Physics,Phenomena such as superconductivity and magnetism,definition
PHYS.7.2,Physics: Modern and Advanced Physics,Condensed Matter Physics,Phase transitions and critical phenomena,definition
PHYS.7.3,Physics: Modern and Advanced Physics,Astrophysics and Cosmology,"Stellar structure and evolution, planetary systems",definition
PHYS.7.3,Physics: Modern and Advanced Physics,Astrophysics and Cosmology,"The Big Bang, cosmic microwave background, and expansion of the universe",definition
PHYS.7.3,Physics: Modern and Advanced Physics,Astrophysics and Cosmology,"Dark matter, dark energy, and current cosmological models",definition
PHYS.7.4,Physics: Modern and Advanced Physics,Interdisciplinary and Emerging Fields,Plasma physics and fluid dynamics,definition
PHYS.7.4,Physics: Modern and Advanced Physics,Interdisciplinary and Emerging Fields,"Nonlinear dynamics, chaos theory, and complex systems",definition
PHYS.7.4,Physics: Modern and Advanced Physics,Interdisciplinary and Emerging Fields,Quantum information and computation,definition
PHYS.8.1,Physics: Experimental and Computational Methods,Experimental Techniques in Physics,"Measurement methods, instrumentation, and data acquisition",definition
PHYS.8.1,Physics: Experimental and Computational Methods,Experimental Techniques in Physics,Laboratory techniques and error analysis,definition
PHYS.8.1,Physics: Experimental and Computational Methods,Experimental Techniques in Physics,Designing experiments and interpreting empirical data,definition
PHYS.8.1,Physics: Experimental and Computational Methods,Experimental Techniques in Physics,"Statistical data analysis (regression, hypothesis testing)",definition
PHYS.8.2,Physics: Experimental and Computational Methods,Computational Physics,Numerical methods and simulation techniques,definition
PHYS.8.2,Physics: Experimental and Computational Methods,Computational Physics,Monte Carlo methods and algorithmic modeling,definition
PHYS.8.2,Physics: Experimental and Computational Methods,Computational Physics,Data analysis and visualization in modern physics research,definition
PHYS.8.2,Physics: Experimental and Computational Methods,Computational Physics,Computational fluid dynamics (CFD),definition
PHYS.9.1,Physics: Interdisciplinary Applications and Special Topics,Applied Physics Fields,"Biophysics, medical physics, and environmental physics",definition
PHYS.9.1,Physics: Interdisciplinary Applications and Special Topics,Applied Physics Fields,Material science and nanotechnology,definition
PHYS.9.1,Physics: Interdisciplinary Applications and Special Topics,Applied Physics Fields,Applied optics and photonics,definition
PHYS.9.2,Physics: Interdisciplinary Applications and Special Topics,Advanced Mathematical Methods in Physics,"Group theory, symmetry analysis, and Lie algebras",definition
PHYS.9.2,Physics: Interdisciplinary Applications and Special Topics,Advanced Mathematical Methods in Physics,Special functions and integral transforms in solving physical problems,definition
PHYS.9.2,Physics: Interdisciplinary Applications and Special Topics,Advanced Mathematical Methods in Physics,Advanced differential equations and complex variable methods,definition
CHEM.1.1,Chemistry: Fundamentals & Basic Concepts,Matter and Its Properties,"Definition of matter: substances, elements, compounds, mixtures",definition
CHEM.1.1,Chemistry: Fundamentals & Basic Concepts,Matter and Its Properties,"States of matter: solids, liquids, gases, plasmas",definition
CHEM.1.1,Chemistry: Fundamentals & Basic Concepts,Matter and Its Properties,Intensive and extensive properties,definition
CHEM.1.1,Chemistry: Fundamentals & Basic Concepts,Matter and Its Properties,Physical vs. Chemical Properties and Changes,definition
CHEM.1.2,Chemistry: Fundamentals & Basic Concepts,Atomic Theory and the Periodic Table,Historical development of atomic theory,definition
CHEM.1.2,Chemistry: Fundamentals & Basic Concepts,Atomic Theory and the Periodic Table,"Structure of the atom (protons, neutrons, electrons)",definition
CHEM.1.2,Chemistry: Fundamentals & Basic Concepts,Atomic Theory and the Periodic Table,Modern atomic models and electron configurations,definition
CHEM.1.2,Chemistry: Fundamentals & Basic Concepts,Atomic Theory and the Periodic Table,"Periodic trends (atomic radius, ionization energy, electronegativity)",definition
CHEM.1.3,Chemistry: Fundamentals & Basic Concepts,Chemical Bonding and Intermolecular Forces,"Ionic, covalent, and metallic bonds",definition
CHEM.1.3,Chemistry: Fundamentals & Basic Concepts,Chemical Bonding and Intermolecular Forces,"Lewis structures, VSEPR theory",definition
CHEM.1.3,Chemistry: Fundamentals & Basic Concepts,Chemical Bonding and Intermolecular Forces,Hybridization and molecular geometry,definition
CHEM.1.3,Chemistry: Fundamentals & Basic Concepts,Chemical Bonding and Intermolecular Forces,"Intermolecular forces: hydrogen bonding, van der Waals forces, dipole–dipole interactions",definition
CHEM.1.4,Chemistry: Fundamentals & Basic Concepts,Measurement and Laboratory Basics,"Units of measurement, significant figures, and precision",definition
CHEM.1.4,Chemistry: Fundamentals & Basic Concepts,Measurement and Laboratory Basics,"Concepts of concentration (molarity, molality, percent composition)",definition
CHEM.1.4,Chemistry: Fundamentals & Basic Concepts,Measurement and Laboratory Basics,"Basic lab safety, equipment, and techniques",definition
CHEM.1.4,Chemistry: Fundamentals & Basic Concepts,Measurement and Laboratory Basics,Dimensional analysis and error analysis,definition
CHEM.2.1,Chemistry: Quantitative Chemistry & Stoichiometry,Chemical Formulas and Nomenclature,Naming inorganic and organic compounds,definition
CHEM.2.1,Chemistry: Quantitative Chemistry & Stoichiometry,Chemical Formulas and Nomenclature,Empirical and molecular formulas,definition
CHEM.2.2,Chemistry: Quantitative Chemistry & Stoichiometry,Balancing Chemical Equations,Conservation of mass and charge,definition
CHEM.2.2,Chemistry: Quantitative Chemistry & Stoichiometry,Balancing Chemical Equations,"Reaction stoichiometry, limiting reagents, and yield calculations",definition
CHEM.2.3,Chemistry: Quantitative Chemistry & Stoichiometry,Quantitative Analysis and Stoichiometry,Mole concept and Avogadro’s number,definition
CHEM.2.3,Chemistry: Quantitative Chemistry & Stoichiometry,Quantitative Analysis and Stoichiometry,"Calculations involving gases (Ideal Gas Law, gas mixtures)",definition
CHEM.2.3,Chemistry: Quantitative Chemistry & Stoichiometry,Quantitative Analysis and Stoichiometry,Concepts of solution stoichiometry and titration,definition
CHEM.2.3,Chemistry: Quantitative Chemistry & Stoichiometry,Quantitative Analysis and Stoichiometry,Percent yield and Atom economy,definition
CHEM.3.1,Chemistry: Inorganic Chemistry,Periodicity and Elemental Properties,Trends in the periodic table,definition
CHEM.3.1,Chemistry: Inorganic Chemistry,Periodicity and Elemental Properties,"Groups and periods, block elements (s, p, d, and f blocks)",definition
CHEM.3.2,Chemistry: Inorganic Chemistry,Main Group Chemistry,"Oxides, acids, bases, and salts",definition
CHEM.3.2,Chemistry: Inorganic Chemistry,Main Group Chemistry,Covalent vs. ionic character and reactivity patterns,definition
CHEM.3.3,Chemistry: Inorganic Chemistry,Transition Metal and Coordination Chemistry,Characteristics of transition metals,definition
CHEM.3.3,Chemistry: Inorganic Chemistry,Transition Metal and Coordination Chemistry,Coordination compounds and ligand theory,definition
CHEM.3.3,Chemistry: Inorganic Chemistry,Transition Metal and Coordination Chemistry,Crystal field and molecular orbital theory applied to complexes,definition
CHEM.3.4,Chemistry: Inorganic Chemistry,Advanced Topics in Inorganic Chemistry,Organometallic compounds,definition
CHEM.3.4,Chemistry: Inorganic Chemistry,Advanced Topics in Inorganic Chemistry,Solid-state chemistry and structure of materials,definition
CHEM.4.1,Chemistry: Organic Chemistry,Fundamentals of Organic Structure,Types of organic compounds and functional groups,definition
CHEM.4.1,Chemistry: Organic Chemistry,Fundamentals of Organic Structure,"Hybridization, stereochemistry, and isomerism",definition
CHEM.4.2,Chemistry: Organic Chemistry,Reaction Mechanisms and Reactivity,"Nucleophiles, electrophiles, and radicals",definition
CHEM.4.2,Chemistry: Organic Chemistry,Reaction Mechanisms and Reactivity,"Common reaction types (substitution, addition, elimination, rearrangement)",definition
CHEM.4.2,Chemistry: Organic Chemistry,Reaction Mechanisms and Reactivity,Reaction mechanisms and energy profiles,definition
